ROUTE_ID,CUSTOMER_NUMBER,DEPOT_CODE,CUSTOMER_CODE,DIRECTION,DISTANCE_KM,TIME_DISTANCE_MIN, 
2946091,1,1000,138087,DEPOT->CUSTOMER,31.173,34.815, 
2946091,1,1000,138087,CUSTOMER->DEPOT,31.159,34.782, 
2946091,2,1000,138157,DEPOT->CUSTOMER,47.352,54.527, 
2946091,2,1000,138157,CUSTOMER->DEPOT,47.85,54.791, 
2946091,3,1000,26,DEPOT->CUSTOMER,29.805,31.416, 
2946091,3,1000,26,CUSTOMER->DEPOT,29.849,31.46, 
2946091,4,1000,478,DEPOT->CUSTOMER,63.689,65.835, 
2946091,4,1000,478,CUSTOMER->DEPOT,63.772,65.912, 
2946091,5,1000,921127,DEPOT->CUSTOMER,57.008,60.038, 
2946091,5,1000,921127,CUSTOMER->DEPOT,57.49,60.313, 
2946091,6,1000,15076,DEPOT->CUSTOMER,32.079,33.737, 
2946091,6,1000,15076,CUSTOMER->DEPOT,32.081,33.737, 
2946091,7,1000,921302,DEPOT->CUSTOMER,21.314,23.122, 
2946091,7,1000,921302,CUSTOMER->DEPOT,21.655,23.287, 
2946091,8,1000,454,DEPOT->CUSTOMER,33.116,34.771, 
2946091,8,1000,454,CUSTOMER->DEPOT,33.134,34.782, 
2946091,9,1000,1408,DEPOT->CUSTOMER,21.388,23.408, 
2946091,9,1000,1408,CUSTOMER->DEPOT,21.378,23.419, 
2946091,10,1000,922636,DEPOT->CUSTOMER,29.251,32.857, 
2946091,10,1000,922636,CUSTOMER->DEPOT,29.237,32.824, 
2946091,11,1000,141727,DEPOT->CUSTOMER,65.38,68.013, 
2946091,11,1000,141727,CUSTOMER->DEPOT,65.462,68.101, 
2946091,12,1000,15027,DEPOT->CUSTOMER,46.242,50.886, 
2946091,12,1000,15027,CUSTOMER->DEPOT,46.085,50.732, 
2946091,13,1000,137381,DEPOT->CUSTOMER,65.34,67.892, 
2946091,13,1000,137381,CUSTOMER->DEPOT,65.423,67.98, 
2946091,14,1000,1998,DEPOT->CUSTOMER,46.136,48.499, 
2946091,14,1000,1998,CUSTOMER->DEPOT,46.18,48.543, 
2946091,15,1000,922451,DEPOT->CUSTOMER,30.914,32.34, 
2946091,15,1000,922451,CUSTOMER->DEPOT,30.958,32.384, 
2946091,16,1000,1425,DEPOT->CUSTOMER,18.38,19.36, 
2946091,16,1000,1425,CUSTOMER->DEPOT,18.38,19.36, 
2946091,17,1000,1016,DEPOT->CUSTOMER,45.769,50.402, 
2946091,17,1000,1016,CUSTOMER->DEPOT,45.7,50.347, 
2946091,18,1000,131768,DEPOT->CUSTOMER,20.81,22.429, 
2946091,18,1000,131768,CUSTOMER->DEPOT,21.109,22.209, 
2946091,19,1000,131511,DEPOT->CUSTOMER,23.67,27.258, 
2946091,19,1000,131511,CUSTOMER->DEPOT,23.656,27.225, 
2946091,20,1000,132462,DEPOT->CUSTOMER,22.296,24.948, 
2946091,20,1000,132462,CUSTOMER->DEPOT,22.775,25.223, 
2946091,21,1000,922334,DEPOT->CUSTOMER,28.979,37.29, 
2946091,21,1000,922334,CUSTOMER->DEPOT,28.979,37.29, 
2946091,22,1000,15221,DEPOT->CUSTOMER,65.466,68.288, 
2946091,22,1000,15221,CUSTOMER->DEPOT,65.549,68.365, 
2946091,23,1000,136836,DEPOT->CUSTOMER,30.126,32.043, 
2946091,23,1000,136836,CUSTOMER->DEPOT,30.17,32.087, 
2946091,24,1000,10825,DEPOT->CUSTOMER,23.633,27.291, 
2946091,24,1000,10825,CUSTOMER->DEPOT,23.401,27.038, 
2946091,25,1000,921872,DEPOT->CUSTOMER,21.07,24.123, 
2946091,25,1000,921872,CUSTOMER->DEPOT,21.064,24.112, 
2946091,26,1000,138142,DEPOT->CUSTOMER,65.406,67.309, 
2946091,26,1000,138142,CUSTOMER->DEPOT,65.376,67.276, 
2946091,27,1000,923142,DEPOT->CUSTOMER,24.327,46.266, 
2946091,27,1000,923142,CUSTOMER->DEPOT,24.327,46.266, 
2946091,28,1000,1118,DEPOT->CUSTOMER,46.679,51.986, 
2946091,28,1000,1118,CUSTOMER->DEPOT,46.843,52.448, 
2946091,29,1000,144680,DEPOT->CUSTOMER,47.51,49.445, 
2946091,29,1000,144680,CUSTOMER->DEPOT,47.593,49.533, 
2946091,30,1000,143559,DEPOT->CUSTOMER,65.386,67.65, 
2946091,30,1000,143559,CUSTOMER->DEPOT,65.746,68.629, 
2946091,31,1000,131332,DEPOT->CUSTOMER,65.013,67.166, 
2946091,31,1000,131332,CUSTOMER->DEPOT,65.096,67.243, 
2946091,32,1000,131334,DEPOT->CUSTOMER,65.736,68.112, 
2946091,32,1000,131334,CUSTOMER->DEPOT,65.923,68.706, 
2946091,33,1000,131336,DEPOT->CUSTOMER,54.394,58.927, 
2946091,33,1000,131336,CUSTOMER->DEPOT,54.477,59.004, 
2946091,34,1000,131337,DEPOT->CUSTOMER,65.945,68.387, 
2946091,34,1000,131337,CUSTOMER->DEPOT,66.426,69.377, 
2946091,35,1000,2038,DEPOT->CUSTOMER,30.608,32.032, 
2946091,35,1000,2038,CUSTOMER->DEPOT,30.652,32.076, 
2946091,36,1000,131469,DEPOT->CUSTOMER,46.361,51.26, 
2946091,36,1000,131469,CUSTOMER->DEPOT,46.278,51.183, 
2946091,37,1000,739,DEPOT->CUSTOMER,39.269,41.987, 
2946091,37,1000,739,CUSTOMER->DEPOT,39.778,42.284, 
2946091,38,1000,738,DEPOT->CUSTOMER,50.717,55.759, 
2946091,38,1000,738,CUSTOMER->DEPOT,51.021,55.759, 
2946091,39,1000,7521,DEPOT->CUSTOMER,30.747,32.098, 
2946091,39,1000,7521,CUSTOMER->DEPOT,30.791,32.142, 
2946091,40,1000,7930,DEPOT->CUSTOMER,47.035,54.208, 
2946091,40,1000,7930,CUSTOMER->DEPOT,47.532,54.472, 
2946091,41,1000,7935,DEPOT->CUSTOMER,56.861,59.752, 
2946091,41,1000,7935,CUSTOMER->DEPOT,57.343,60.016, 
2946091,42,1000,7945,DEPOT->CUSTOMER,56.641,60.258, 
2946091,42,1000,7945,CUSTOMER->DEPOT,58.145,61.226, 
2946091,43,1000,7959,DEPOT->CUSTOMER,66.025,67.914, 
2946091,43,1000,7959,CUSTOMER->DEPOT,66.129,68.024, 
2946091,44,1000,15203,CUSTOMER->DEPOT,46.318,51.216, 
2946091,44,1000,15203,DEPOT->CUSTOMER,46.24,51.337, 
2946091,45,1000,15208,CUSTOMER->DEPOT,20.822,22.11, 
2946091,45,1000,15208,DEPOT->CUSTOMER,21.342,22.638, 
2946091,46,1000,15253,CUSTOMER->DEPOT,21.491,23.683, 
2946091,46,1000,15253,DEPOT->CUSTOMER,21.503,23.452, 
2946091,47,1000,143115,CUSTOMER->DEPOT,30.957,33.022, 
2946091,47,1000,143115,DEPOT->CUSTOMER,30.954,33.022, 
2946091,48,1000,921336,CUSTOMER->DEPOT,21.244,23.122, 
2946091,48,1000,921336,DEPOT->CUSTOMER,21.254,23.111, 
2946091,49,1000,137670,CUSTOMER->DEPOT,53.08,57.926, 
2946091,49,1000,137670,DEPOT->CUSTOMER,52.776,57.915, 
